normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc,product_id,run_id,product_kind,attr_brand,attr_dosage_form,attr_dosage,attr_administration_route,semantic_explanation,qwen_search_status,qwen_search_mnn
ЭНАП ТАБЛ. 5МГ №20 | КРКА-РУС ООО | КРКА-РУС ООО,,rx,Эналаприл,rx,Эналаприл,rx,Эналаприл,rx,Эналаприл,rx,,,Эналаприл,rx,711,335,drug,Энап,таблетки,5 мг,перорально,"Энап 5 мг №20 — рецептурный препарат, принимаемый внутрь, в форме таблеток. Относится к антигипертензивным средствам (ингибиторам АПФ), однако МНН по тексту не указан, поэтому оставлен пустым.",found,Эналаприл
ЭМСИБЕЛ Р-Р Д/ИН. 10МГ/МЛ АМП. 1МЛ №10 | БЕЛМЕДПРЕПАРАТЫ РУП | БЕЛМЕДПРЕПАРАТЫ РУП,,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,,,Метилэтилпиридинол,rx,780,335,drug,ЭМСИБЕЛ,раствор,10 мг/мл,инъекционное,"В тексте указаны только торговое название и форма выпуска, действующее вещество не раскрыто, поэтому МНН и нозология не заполнены. Препарат представляет собой раствор для инъекций в ампулах по 1 мл №10 с концентрацией 10 мг/мл. Отпуск типично рецептурный, возрастной сегмент — взрослые.",found,Метилэтилпиридинол
ЭЛИДЕЛ КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | МЕДА МАНУФАКЧУРИНГ | МЕДА МАНУФАКЧУРИНГ,,рецептурный,Пимекролимус,rx,Пимекролимус,rx,Пимекролимус,rx,Пимекролимус,rx,,,Пимекролимус,rx,905,335,drug,Элидел,крем,1%,наружно,"По наименованию определён бренд «Элидел», лекарственная форма «крем» и концентрация 1%; наружное применение указано в тексте. Действующее вещество в названии не указано, поэтому МНН не заполнен. Препарат относится к рецептурным дерматологическим средствам, явных возрастных ограничений в тексте нет.",found,пимекролимус
ЭКОФУЦИН СУПП. ВАГ. 100МГ №3 | ///АВВА РУС АО | ///АВВА РУС АО,,otc,Натамицин,otc,,,,,Натамицин,otc,,,Натамицин,otc,988,335,drug,Экофуцин,,100 мг,ректально,"Экофуцин — противогрибковые вагинальные суппозитории по 100 мг, упаковка №3. МНН в тексте не указан, поэтому не заполнен. Препарат применяется вагинально и предназначен для взрослых.",found,Натамицин
ЭВАМЕНОЛ НАЗО КАПЛИ НАЗ. 1%+3% ФЛ-КАП. 12МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,otc,,,Левоментол+Фенилсалицилат,otc,"Фенилсалицилат, Левоментол",,Levomenthol,otc,,,"Левоментол, Фенилсалицилат",otc,1256,336,drug,Эваменол Назо,капли,1%+3%,назальный,"Это назальные капли, форма и путь введения читаются в тексте. Активные вещества отдельно не указаны (только концентрации 1%+3%), поэтому МНН оставлен пустым. Препарат отнесён к безрецептурным симптоматическим средствам для взрослых.",found,левоментол + фенилсалицилат
ЭЙФА АЦ ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 200МГ ПАК-САШЕ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,otc,Ацетилцистеин,otc,,,,,Ацетилцистеин,otc,,,Ацетилцистеин,otc,1114,335,drug,Эйфа АЦ,гранулы,200 мг,перорально,"Препарат в форме гранул для приготовления раствора для приема внутрь, 200 мг в пак-саше. По сокращению «АЦ» в названии и форме выпуска определено действующее вещество ацетилцистеин (муколитик). Возрастная группа не уточнена, поэтому выбран типичный для ЛС взрослый сегмент.",found,Ацетилцистеин
ШПРИЦ ОДНОРАЗ. 3-Х КОМП. 20МЛ LUER-SLIP ИГЛА ПРИЛОЖ. 21G №1 VM | VOGT MEDICAL | VOGT MEDICAL | 21 G,,,,,,,,,,,,,,,1347,336,drug,VOGT MEDICAL,,20 мл,инъекционное,"Одноразовый шприц объёмом 20 мл с иглой 21G, марка VOGT MEDICAL. Это медицинское изделие, поэтому МНН и фармакологическая группа не применимы. Возрастная категория не указана и для инструмента не важна.",not_found,
ШПРИЦ ИНСУЛИН. U-40 ОДНОРАЗ. 3-Х КОМП. 1МЛ ИГЛА 26G №1 SFM | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | 26 G,,,,,,otc,,,,,,,,,1384,336,drug,SFM,,"1 мл, U-40",подкожно,"Товар представляет собой одноразовый инсулиновый шприц U-40 объёмом 1 мл с иглой 26G. Это медицинское изделие, поэтому МНН, рецептурность и нозология не применимы. Возрастная привязка отсутствует.",not_found,
"ШПРИЦ ИНСУЛИН. МИКРО-ФАЙН ПЛЮС U-100 3-Х КОМП. 0,5МЛ ИГЛА 29G №10 | БЕКТОН ДИКИНСОН | БЕКТОН ДИКИНСОН | 29 G",,,,,,,,,,,,,,,1379,336,drug,Бектон Дикинсон,,"0,5 мл; игла 29G",подкожно,"Это инсулиновый шприц объёмом 0,5 мл с иглой 29G, в упаковке №10. МНН, нозология и категория отпуска для данного товара неприменимы. Возрастных ограничений нет.",not_found,
ШПРИЦ ИНЕКТА ИНСУЛИН. ОДНОРАЗ. 3-КОМП. 1МЛ ИГЛА 26G №1 | БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ КО. | БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ КО. | 26 G,,,,,,,,,,,,,,,1402,336,drug,Инекта,,1 мл; игла 26G,инъекционное,"Инсулиновый одноразовый шприц объемом 1 мл с иглой 26G, упаковка №1. МНН, рецептурный статус, нозология и комбинация не применимы для данного товара.",not_found,
ЦИННАБСИН ТАБЛ. Д/РАССАС. ГОМЕОП. №100 | ДОЙЧЕ ХОМЕОПАТИ-УНИОН ДХУ | ДОЙЧЕ ХОМЕОПАТИ-УНИОН ДХУ,,otc,,otc,,,,,,otc,,,,otc,1800,337,drug,Циннабсин,таблетки,,перорально,"Из текста извлекаются форма выпуска (таблетки для рассасывания) и количество (№100). Активное вещество не указано, поэтому МНН не определяется. Гомеопатический препарат, без детских указаний, поэтому возрастная группа — взрослые.",not_found,
ЦЕРЕБРОЛИЗАТ Р-Р ДЛЯ В/М ВВЕД. АМП. 1МЛ №10 БЕЛМЕДПРЕПАРАТЫ | БЕЛМЕДПРЕПАРАТЫ РУП | БЕЛМЕДПРЕПАРАТЫ РУП,,rx,Мозга крупного рогатого скота гидролизат,rx,,,,,,rx,,,Мозга крупного рогатого скота гидролизат,rx,1989,337,drug,Церебролизат,раствор,1 мл,внутримышечно,"Препарат «Церебролизат» выпускается в виде раствора для внутримышечного введения в ампулах по 1 мл, упаковка №10. МНН в названии не указано, поэтому mnn не заполнен; по применению это ноотропное средство, отпускается по рецепту.",found,Мозга крупного рогатого скота гидролизат
ХОНСАТ Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ АМП. 2МЛ №5 | Армавирская биологическая фабрика/Эллара ООО | Армавирская биологическая фабрика/Эллара ООО,,rx,Хондроитина сульфат,rx,Хондроитина сульфат,rx,,,Хондроитина сульфат натрия,rx,,,Хондроитина сульфат,rx,2148,337,drug,Хонсат,раствор,100 мг/мл,внутримышечно,"Судя по названию и лекарственной форме, это инъекционный хондропротектор: раствор для в/м введения 100 мг/мл в ампулах по 2 мл №5. Действующее вещество в тексте не указано, поэтому МНН не заполнен. Препарат отпускается по рецепту.",found,Хондроитина сульфат
ХЛОРОФИЛЛИПТ ТАБЛ. Д/РАССАС. 25МГ №20 ВИФИТЕХ | ВИФИТЕХ | ВИФИТЕХ,,без рецепта,Эвкалипта листьев экстракт,otc,Эвкалипта листьев экстракт,otc,,,Листья эвкалипта,otc,,,Эвкалипта листьев экстракт,otc,2249,338,drug,Хлорофиллипт,таблетки,25 мг,сублингвально,"Идентифицированы таблетки для рассасывания 25 мг, упаковка №20. МНН в тексте не указан, поэтому оставлен null. Препарат без рецепта, детский возрастной сигнал отсутствует, указан типичный сегмент — взрослые.",found,хлорофиллипт
ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,,otc,Нитрофурал,otc,,,,,Прокаин,otc,,,,otc,2630,338,drug,,таблетки,20 мг,наружно,"Препарат Фурацилин (нитрофурал) — антисептик, выпускается в форме таблеток для приготовления раствора для местного и наружного применения. Дозировка 20 мг, в упаковке 10 таблеток, отпускается без рецепта. Возрастной сегмент — взрослые.",found,нитрофурал
ФОСФОГЛИВ КАПС. №96 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,otc,Глицирризиновая кислота + Фосфолипиды,otc,Фосфолипиды + Глицирризиновая кислота,otc,"Фосфолипиды, Глицирризиновая кислота",rx,,otc,,,"Глицирризиновая кислота, Фосфолипиды",otc,2811,338,drug,Фосфоглив,капсулы,,перорально,"Препарат распознан как Фосфоглив в форме капсул, упаковка №96. Это комбинированный гепатопротектор без явного указания МНН в тексте, поэтому МНН не заполнено.",found,Глицирризиновая кислота + Фосфолипиды
ФУРАЦИЛИН ПОР. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ ПАКЕТ №10 МЕЛИГЕН | МЕЛИГЕН ФП | МЕЛИГЕН ФП,,otc,Нитрофурал,otc,Витамин Е + Ретинол,otc,,,,,,,,otc,2640,338,drug,Мелиген ФП,порошок,20 мг,наружно,"Текст однозначно указывает на препарат Фурацилин (нитрофурал) в форме порошка для приготовления раствора для местного и наружного применения в пакетах №10 по 20 мг. Это безрецептурный антисептик, монокомпонентный; бренд/производитель — Мелиген ФП.",found,Нитрофурал
"ФОРМИСОНИД ПОР. Д/ИНГ. ДОЗИР. 160МКГ+4,5МКГ/ДОЗА №60 С ИНГАЛЯТОРОМ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО",,rx,,,Будесонид + Формотерол,rx,"Будесонид, Формотерол",rx,Будесонид,rx,,,"Будесонид, Формотерол",rx,2930,339,drug,Формисонид,порошок,"160 мкг + 4,5 мкг/доза",ингаляционно,"Препарат представляет собой дозированный порошок для ингаляций с комбинированной дозировкой 160+4,5 мкг/доза, в упаковке 60 доз с ингалятором. Явное МНН в тексте не указано, поэтому mnn не заполнен. Это рецептурное ингаляционное средство.",found,будесонид + формотерол
ФОРОЗА ТАБЛ. П/ПЛЕН/ОБ. 70МГ №12 НОВАРТИС | НОВАРТИС НЕВА ООО | НОВАРТИС НЕВА ООО,,rx,Алендроновая кислота,rx,Алендроновая кислота,rx,Алендроновая кислота,rx,Алендроновая кислота,rx,,,Алендроновая кислота,rx,2906,338,drug,Фороза,таблетки,70 мг,перорально,"Препарат «Фороза» выпускается в таблетках, покрытых плёночной оболочкой, по 70 мг, в упаковке №12. Действующее вещество в тексте не указано, поэтому mnn и nosology не заполнены. Это рецептурный препарат для приёма внутрь у взрослых.",found,алендроновая кислота
ФОРМИДРОН Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. ФЛ. 50МЛ ЯРОСЛАВСКАЯ ФФ | ЯРОСЛАВСКАЯ ФФ | ЯРОСЛАВСКАЯ ФФ,,otc,Формальдегид,otc,Формальдегид,otc,Формальдегид,,Формальдегид,otc,,,Формальдегид,otc,2936,339,drug,Формидрон,раствор,,наружно,"Формидрон представлен как спиртовой раствор для наружного применения во флаконе 50 мл. Действующее вещество по МНН в тексте не указано, поэтому mnn не заполнен. Средство относится к безрецептурным антисептикам и типично используется у взрослых.",found,Формальдегид
ФЛУИМУЦИЛ-АНТИБИОТИК ИТ ЛИОФ. Д/Р-РА Д/ИН. И ИНГ. 500МГ ФЛ. №3 С РАСТВОРИТЕЛЕМ | ЗАМБОН С.П.А. | ЗАМБОН С.П.А.,,rx,Тиамфеникола глицинат ацетилцистеинат,rx,,,,,"Тиамфеникол, глицинат ацетилцистеинат",rx,,,Тиамфеникола глицинат ацетилцистеинат,rx,3080,339,drug,Флуимуцил-антибиотик ИТ,лиофилизат,500 мг,ингаляционно,"Препарат идентифицирован по торговому названию и лекарственной форме: лиофилизат для приготовления раствора для инъекций и ингаляций, дозировка 500 мг, в комплекте с растворителем. Действующее вещество в тексте явно не указано, поэтому МНН не заполнено. Наличие слова «антибиотик» и инъекционной/ингаляционной формы позволяет отнести средство к антибиотикам, отпускаемым по рецепту.",found,Тиамфеникола глицинат ацетилцистеинат
"ФЛАМАДЕКС ГЕЛЬ Д/НАРУЖН. ПРИМ. 2,5% ТУБА 50Г | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО",,rx,Декскетопрофен,otc,Декскетопрофен,otc,Декскетопрофен,,Декскетопрофен,otc,,,Декскетопрофен,otc,3216,339,drug,Фламадекс,гель,"2,5%",наружно,"Гель для наружного применения с концентрацией 2,5% в тубе 50 г. В тексте указан только бренд и форма, поэтому МНН не заполнено. Учитывая область применения, отнесено к нестероидным противовоспалительным средствам для взрослых.",found,Декскетопрофен
ФЛИКСОТИД АЭРОЗ. Д/ИНГАЛ. ДОЗИР. 250МКГ/ДОЗА ФЛ. 60ДОЗ | ГЛАКСО ВЭЛЛКОМ С.А. | ГЛАКСО ВЭЛЛКОМ С.А.,,rx,Флутиказон,rx,Флутиказон,rx,Флутиказон,rx,Флутиказон,rx,,,Флутиказон,rx,3169,339,drug,Фликсотид,аэрозоль,250 мкг/доза,ингаляционно,"ФЛИКСОТИД — ингаляционный глюкокортикостероид в форме дозированного аэрозоля. Действующее вещество в тексте не читается, поэтому МНН не указан. Дозировка и форма введены из текста.",found,флутиказона пропионат
УРОНОРМИН-Ф ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 3Г ПАК. 8Г №2 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,rx,Фосфомицин,rx,Фосфомицин,rx,Фосфомицин,rx,Фосфомицин,rx,,,Фосфомицин,rx,3939,340,drug,Уронормин-Ф,порошок,3 г,перорально,"В тексте явно указаны форма, дозировка и упаковка. Действующее вещество как МНН не читается, поэтому mnn не заполнен. Название и урологический профиль позволяют предположить назначение при инфекциях мочевыводящих путей, а лекарственная форма характерна для рецептурного препарата.",found,Фосфомицин
"ТУДЖЕО СОЛО СТАР Р-Р ДЛЯ П/К ВВЕД. 300ЕД/МЛ КАРТРИДЖ В ШПРИЦ-РУЧКЕ 1,5МЛ №5 | САНОФИ-АВЕНТИС ДОЙЧЛАНД ГМБХ/САНОФИ-АВЕНТИС ВОСТОК ЗАО | САНОФИ-АВЕНТИС ДОЙЧЛАНД ГМБХ/САНОФИ-АВЕНТИС ВОСТОК ЗАО",,rx,,,,,,,,,,,,,4271,340,drug,Туджео Соло Стар,раствор,300 ЕД/мл,подкожно,"Товар — раствор для подкожного введения Туджео СолоСтар, по бренду относится к сахароснижающим средствам. Действующее вещество в тексте явно не указано, поэтому mnn оставлен пустым. Отпускается по рецепту, упаковка — картридж в шприц-ручке 1,5 мл №5.",found,инсулин гларгин
"ТРИНЕЙРО ТАБЛ. П/ПЛЕН/ОБ. 200МГ+100МГ+0,2МГ №60 | МАРБИОФАРМ ОАО | МАРБИОФАРМ ОАО",,otc,,,Пиридоксин+Тиамин+Цианокобаламин,rx,,,,rx,,,"Пиридоксин, Тиамин, Цианокобаламин",rx,4383,341,drug,Тринейро,таблетки,"200 мг + 100 мг + 0,2 мг",перорально,"По тексту и фирменному названию это комбинированный нейротропный комплекс витаминов группы B в таблетках по 200 мг + 100 мг + 0,2 мг. МНН не указан явно, поэтому заполнен как null. Рецептурность и возраст явно не указаны; для таблетированного витаминного комплекса приняты типичные взрослый сегмент и безрецептурная продажа.",found,Пиридоксин + Тиамин + Цианокобаламин
ТРИМЕТАЗИДИН МВ РЕНЕВАЛ ТАБЛ. ПРОЛОНГ. ВЫСВ. П/ПЛЕН/ОБ. 35МГ №60 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Триметазидин,rx,Триметазидин,rx,Нафазолин,otc,"Ацетилсалициловая кислота, Аскорбиновая кислота",,Розувастатин,rx,,,,rx,4399,341,drug,Реневал,таблетки,35 мг,перорально,"В названии явно указано действующее вещество триметазидин, лекарственная форма и дозировка. Препарат рецептурный, применяется внутрь. Отнесён к взрослой возрастной группе.",found,триметазидин
ТРИМЕКТАЛ МВ ТАБЛ. МОДИФ. ВЫСВ. П/ПЛЕН/ОБ. 35МГ №120 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,,rx,Триметазидин,rx,Триметазидин,rx,Триметазидин,rx,Триметазидин,rx,,,Триметазидин,rx,4409,341,drug,Тримектал МВ,таблетки,35 мг,перорально,"В тексте указано торговое наименование Тримектал МВ, форма выпуска и дозировка; МНН явно не приведено, поэтому mnn не заполнен. Препарат определен как рецептурное антиангинальное средство для взрослых, упаковка 120 таблеток.",found,триметазидин
ТРЕСИБА Р-Р ДЛЯ П/К ВВЕД. 100ЕД/МЛ КАРТРИДЖ В ШПРИЦ-РУЧКЕ ФЛЕКСПЕН 3МЛ №5 | НОВО НОРДИКС А/С | НОВО НОРДИКС А/С,,rx,Инсулин деглудек,rx,Инсулин деглудек,rx,Инсулин деглудек,rx,Инсулин деглудек,rx,,,Инсулин деглудек,rx,4448,341,drug,Тресиба,раствор,100 ЕД/мл,подкожно,"Раствор для подкожного введения в шприц-ручке ФлексПен, дозировка 100 ЕД/мл. МНН в тексте не указано явно, поэтому оставлено null; бренд Тресиба относится к рецептурным инсулинам, возрастной сегмент — взрослые.",found,инсулин деглудек
ТРАВОКОРТ КРЕМ Д/НАРУЖ. ПРИМ. 1МГ+10МГ/Г ТУБА 15Г | ЛЕО ФАРМА МАНУФЭКЧУРИНГ ИТАЛИ С.Р.Л. | ЛЕО ФАРМА МАНУФЭКЧУРИНГ ИТАЛИ С.Р.Л.,,rx,Дифлукортолон + Изоконазол,rx,,,,,Изоконазол,rx,,,"Изоконазол, Дифлукортолон",rx,4502,341,drug,Травокорт,крем,1 мг+10 мг/г,наружно,"В тексте указан крем для наружного применения Травокорт с дозировкой 1 мг+10 мг/г в тубе 15 г. Название является брендом, а действующие вещества явно не названы, поэтому МНН не заполнен. Препарат без детских сигналов отнесён к взрослым.",found,дифлукортолон+изоконазол
ТОРВАКАРД ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 | САНЕКА ФАРМАСЬЮТИКАЛС А.С. | САНЕКА ФАРМАСЬЮТИКАЛС А.С.,,рецептурный,Аторвастатин,rx,Аторвастатин,rx,Аторвастатин,rx,Аторвастатин,rx,,,Аторвастатин,rx,4552,341,drug,Торвакард,таблетки,20 мг,перорально,"По тексту определены торговое наименование, лекарственная форма, дозировка и количество в упаковке. МНН в тексте не указано, поэтому заполнено как null; нозология и рецептурный статус определены по известному терапевтическому профилю препарата.",found,Аторвастатин
ТОРАКСОЛ СОЛЮШН ТАБЛЕТС ТАБЛ. ДИСПЕРГ. 60МГ №10 | ОЗОН ООО | ОЗОН ООО,,,Амброксол,otc,Амброксол,otc,Амброксол,,Амброксол,otc,,,Амброксол,otc,4611,341,drug,Тораксол,таблетки,60 мг,перорально,"Препарат представлен как диспергируемые таблетки 60 мг, упаковка №10. Действующее вещество в тексте не указано, поэтому МНН и нозология не определяются.",found,Амброксол
"ТОЛПЕРИЗОН+ЛИДОКАИН-БИНЕРГИЯ Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ+2,5МГ/МЛ АМП. 1МЛ №10 | КУРСКАЯ БИОФАБРИКА - ФИРМА БИОК ФГУП | КУРСКАЯ БИОФАБРИКА - ФИРМА БИОК ФГУП",Толперизон + Лидокаин,rx,,,Гидрокортизон* + Лидокаин,rx,Ницерголин,rx,Доксазозин,rx,,,,rx,4693,341,drug,Бинергия,раствор,"100 мг/мл + 2,5 мг/мл",внутримышечно,"По названию определены комбинированный состав (толперизон + лидокаин), бренд «Бинергия», форма выпуска — раствор для внутримышечного введения, концентрация и упаковка по 10 ампул по 1 мл. Препарат является рецептурным лекарственным средством.",found,Толперизон+Лидокаин
ТОКСИКОДЕНДРОН КВЕРЦИФОЛИУМ (РУС ТОКСИКОДЕНДРОН) С30 ГРАН. ГОМЕОП. 5Г | ДОКТОР Н ООО | ДОКТОР Н ООО,Токсикодендрон кверцифолиум,otc,,otc,,,,,,,,,,,4719,342,drug,,гранулы,С30,перорально,"Гомеопатический препарат с явно указанным действующим веществом, формой «гранулы гомеопатические» и разведением С30, упаковка 5 г. Показания и возраст в тексте не указаны, поэтому часть атрибутов определена по общим правилам.",not_found,
ТИОЦЕТАМ Р-Р ДЛЯ В/В И В/М ВВЕД. 25МГ/МЛ+100МГ/МЛ АМП. 5МЛ №10 | ОЗОН ООО | ОЗОН ООО,,rx,,,,,,,Пирацетам,rx,,,Пирацетам,,4741,342,drug,Тиоцетам,раствор,25 мг/мл + 100 мг/мл,внутримышечно,"В тексте указано торговое наименование, концентрация, форма выпуска и путь введения, но действующие вещества явно не названы, поэтому МНН и нозология не заполнены. Препарат является комбинированным и рецептурным.",found,Морфолиния тиазотат+Пирацетам
