product_id,normalized_text,final_candidate_mnn,pass_action,identity_gate_status,final_mnn_method,new_enrichment_status,current_age,current_age_method,current_age_stage,current_age_source,current_age_confidence,current_age_reason,sem_age,catalog_age,previous_enrichment_age,identity_enrichment_age,age_candidates_json,research_summary,evidence_urls,research_context_available,selected_evidence_count,search_count,label_age,label_notes,manual_expected_age_hint,manual_expected_age_hint_strength,age_error_bucket,age_source_type_guess,age_source_tier_guess,age_identity_grade_guess,age_evidence_grade_guess,age_conflict_status,proposed_age_decision,proposed_age_value,proposed_age_acceptance_tier,proposed_age_queue_action,proposed_age_reason,policy_version
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Ацетилсалициловая кислота,new_enrichment,unresolved_catalog,enrichment,ok,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, Age=универсальный, evidence present",,,,универсальный,"[{""value"": ""универсальный"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}]","status=ok | Category=Drug | mnn=Ацетилсалициловая кислота | RX_OTC=RX | Age=Универсальный | САНОВАСК содержит действующее вещество ацетилсалициловую кислоту (АСК) (источник: lsgeotar.ru). Препарат выпускается в форме таблеток кишечнорастворимых, покрытых пленочной оболочкой, 50 мг (источник: vidal.ru). Согласно инструкции, препарат применяется для профилактики…",http://drugs.thead.ru/SANOVASK | https://avexima.ru/upload/iblock/5f4/o5oavm0mg1b7f5j7f1mqrnipexcx4gc0.pdf | https://grls.rosminzdrav.ru/ | https://medvisor.ru/medicine/drug/sanovask_39420/ | https://www.lsgeotar.ru/drugs/sanovasc-ADcV | https://www.lsgeotar.ru/drugs/sanovasc-AEUn | https://www.rlsnet.ru/drugs/sanovask-75403 | https://www.vidal.ru/drugs/sanovasc | https://www.webapteka.ru/drugbase/name53516.html,yes,9,16,incorrect,"препарат otc, возрастной сегмент - взрослый",взрослые,explicit_label_note,overbroad_universal_without_evidence,official_instruction_product_specific,P1,D,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_universal_without_evidence; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Полыни горькой трава,reuse_existing_enrichment,resolved_enrichment,enrichment,,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=универсальный; weaker sources differ: sem_baseline=взрослые",взрослые,,универсальный,,"[{""value"": ""универсальный"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,no,0,,incorrect,возрастной сегмент - взрослый,взрослые,explicit_label_note,source_conflict_not_escalated,unknown,,unknown,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
10536,ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Омепразол,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,no,0,,incorrect,возрастной сегмент - универсальный,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
13616,"МЕЛИССЫ ЛЕКАРСТВЕННОЙ ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Melissae officinalis herba,reuse_existing_enrichment,resolved_enrichment,enrichment,,взрослые,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=взрослые",взрослые,,взрослые,,"[{""value"": ""взрослые"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,no,0,,incorrect,возрастной сегмент - универсальный. MNN необходим на кирилице,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
15150,ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ АМП. 2МЛ №10 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Лидокаин,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,,unknown,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,,,,,[],pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,no,0,,incorrect,возрастной сегмент - взрослый,взрослые,explicit_label_note,unknown_should_be_resolved,unknown,,unknown,none,unknown,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=взрослые/explicit_label_note; conflict=unknown; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
16623,КОФЕИН-БЕНЗОАТ НАТРИЯ ТАБЛ. 100МГ №10 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Кофеин,new_enrichment,unresolved_catalog,enrichment,ok,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, Age=универсальный, evidence present; weaker sources differ: sem_baseline=взрослые",взрослые,,,универсальный,"[{""value"": ""универсальный"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]","status=ok | Category=Drug | mnn=Кофеин | RX_OTC=RX | Age=Универсальный | Кофеин-бензоат натрия является лекарственным средством (препаратом), действующим веществом которого является кофеин. Согласно инструкциям, он оказывает психостимулирующее и аналептическое действие, блокируя аденозиновые рецепторы (источник: vidal.ru, aptekamos.ru). Препарат…",http://drugs.thead.ru/Kofein-Benzoat_Natriya | https://allmed.pro/ru/drugs/kofein-benzoat-natrija | https://aptekamos.ru/tovary/lekarstva/kofein-459/kofein-benzoat-natriya-rastvor-dlya-inekciyo-20-1ml-4682/instrukciya | https://aptekamos.ru/tovary/lekarstva/kofein-459/kofein-benzoat-natriya-tabletki-100mg-4685/instrukciya | https://www.rlsnet.ru/drugs/kofein-benzoat-natriya-4430 | https://www.vidal.ru/drugs/coffein-benzoate_sodium__5094 | https://www.webapteka.ru/drugbase/name3346.html,yes,7,16,incorrect,возрастной сегмент - взрослый,взрослые,explicit_label_note,source_conflict_not_escalated,rls_or_vidal_product_card,P2,C,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
18125,КАНДЕСАРТАН ТАБЛ. 16МГ №28 БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ,Кандесартан,reuse_existing_enrichment,resolved_enrichment,enrichment,,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=универсальный; weaker sources differ: sem_baseline=взрослые",взрослые,,универсальный,,"[{""value"": ""универсальный"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,no,0,,incorrect,возрастной сегмент - взрослый,взрослые,explicit_label_note,source_conflict_not_escalated,unknown,,unknown,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,,new_enrichment,unresolved_catalog,unresolved_final,ok_partial,unknown,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,,,универсальный,универсальный,"[{""value"": ""универсальный"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""универсальный"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}]","status=ok_partial | Category=Drug | RX_OTC=OTC | Age=Универсальный | Зверобоя трава является лекарственным средством (ЛС) согласно данным Государственного реестра лекарственных средств (ГРЛС) и других источников. МНН (международное непатентованное название) в предоставленных результатах поиска не указано, поэтому оно не определено. Препарат…",https://allmed.pro/ru/drugs/zveroboja-trava | https://health.mail.ru/drug/zveroboya-trava-1/ | https://health.mail.ru/drug/zveroboya-trava/ | https://medi.ru/instrukciya/zveroboya-trava_19776/ | https://pharmproduct.ru/drugs/zveroboia-trava | https://www.lsgeotar.ru/cs/zveroboya-trava-12211.html | https://www.lsgeotar.ru/drugs/st-johns-wort-herb-BBOD | https://www.pharmcontrol.ru/reference/inn/400/ | https://www.pharmcontrol.ru/registry/drugs/16633/ | https://www.rlsnet.ru/drugs/zveroboya-trava-4291 | https://www.vidal.ru/drugs/hyperici_herba__28959 | https://www.vidal.ru/drugs/hyperici_herba__30245,yes,12,16,incorrect,"Drug (Трава зверобоя), ОТС, Взрослый",взрослые,explicit_label_note,unknown_should_be_resolved,rls_or_vidal_product_card,P2,B,none,no_conflict,require_manual_review,null,not_accepted_audit_only,identity_gate_review,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=взрослые/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
20122,ДИОСМИН ТАБЛ. П/ПЛЕН/ОБ. 600МГ №60 ОЗОН | ОЗОН ООО | ОЗОН ООО,Диосмин,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,no,0,,incorrect,возрастной сегмент - универсальный,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,,unknown,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,,,,,[],pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,no,0,,incorrect,возрастной сегмент - универсальный,универсальный,explicit_label_note,unknown_should_be_resolved,unknown,,unknown,none,unknown,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=универсальный/explicit_label_note; conflict=unknown; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
21010,ГЛИЦИН ФОРТЕ ТАБЛ. ЗАЩЕЧН. И П/ЯЗЫЧН. 250МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Глицин,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,,unknown,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,,,,,[],pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,no,0,,incorrect,возрастной сегмент - универсальный,универсальный,explicit_label_note,unknown_should_be_resolved,unknown,,unknown,none,unknown,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=универсальный/explicit_label_note; conflict=unknown; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
24750,АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ПЛЮС РЕНЕВАЛ ТАБЛ. 500МГ+25МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"Ацетилсалициловая кислота, Аскорбиновая кислота",reuse_existing_enrichment,resolved_enrichment,enrichment,,взрослые,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=взрослые",взрослые,,взрослые,,"[{""value"": ""взрослые"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,no,0,,incorrect,возрастной сегмент - универсальный,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
25982,АМЛОДИПИН ТАБЛ. 10МГ №30 РОЗЛЕКС | РОЗЛЕКС ФАРМ ООО | РОЗЛЕКС ФАРМ ООО,Амлодипин,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=универсальный; weaker sources differ: sem_baseline=взрослые",взрослые,,универсальный,,"[{""value"": ""универсальный"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,no,0,,incorrect,возрастной сегмент - взрослый,взрослые,explicit_label_note,source_conflict_not_escalated,unknown,,unknown,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,Амброксол,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,no,0,,incorrect,"препарат otc, возрастной сегмент - универсальный",универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",age_contract_v1
