product_id,normalized_text,normalized_text_full_v4_1,product_identity_text_v4_1,enrichment_query_text_v4_1,enrichment_query_disambiguator_v4_1,enrichment_retrieval_text_v4_1,brand_or_product_name_v4_1,dosage_form_v4_1,strength_v4_1,container_type_v4_1,unit_content_amount_v4_1,pack_unit_count_v4_1,pack_structure_v4_1,manufacturer_v4_1,product_name_raw_v4_1,manufacturer_prefix_raw_v4_1,product_name_remainder_raw_v4_1,product_name_recovery_status_v4_1,m5_0_label_norm_v4_identity_preserved,m5_0_label_norm_v4_query_appropriate,m5_0_label_norm_v4_notes,m5_1_resolution_status,m5_1_resolution_reason,review_stratum_v4_1,label_norm_v4_1_identity_preserved,label_norm_v4_1_query_appropriate,label_norm_v4_1_manufacturer_correct,label_norm_v4_1_pack_structure_correct,label_norm_v4_1_product_name_role_correct,label_norm_v4_1_notes
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,Самбукус Бузина Иммунитет; таблетки; 700 мг; N30; производитель: Грин Сайд ООО,Самбукус Бузина Иммунитет; таблетки; 700 мг; N30; Грин Сайд ООО,Самбукус Бузина Иммунитет таблетки 700 мг N30,Грин Сайд ООО,"Самбукус Бузина Иммунитет таблетки 700 мг N30, Грин Сайд ООО",Самбукус Бузина Иммунитет,таблетки,700 мг,unknown,,N30,N30,Грин Сайд ООО,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг Грин сайд ООО,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,"Гесперидин+Диосмин; таблетки, покрытые пленочной оболочкой; 100 мг + 900 мг; N30; производитель: Алиум АО",Гесперидин+Диосмин; таблетки; 100 мг + 900 мг; N30; Алиум АО,Гесперидин+Диосмин таблетки 100 мг + 900 мг N30,Алиум АО,"Гесперидин+Диосмин таблетки 100 мг + 900 мг N30, Алиум АО",Гесперидин+Диосмин,таблетки,100 мг + 900 мг,unknown,,N30,N30,Алиум АО,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг таб. покрытые пленочной оболочкой Алиум АО,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,multi_component_strength_pack,,,,,,
92,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,"Динамико Лонг; таблетки, покрытые пленочной оболочкой; 20 мг; N8; производитель: Тева Фармацевтические Предприятия Лтд.",Динамико Лонг; таблетки; 20 мг; N8; Тева Фармацевтические Предприятия Лтд.,Динамико Лонг таблетки 20 мг N8,Тева Фармацевтические Предприятия Лтд.,"Динамико Лонг таблетки 20 мг N8, Тева Фармацевтические Предприятия Лтд.",Динамико Лонг,таблетки,20 мг,unknown,,N8,N8,Тева Фармацевтические Предприятия Лтд.,ДИНАМИКО ЛОНГ 20мг таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,Остеомед; таблетки; N60; производитель: Парафарм ООО,Остеомед; таблетки; N60; Парафарм ООО,Остеомед таблетки N60,Парафарм ООО,"Остеомед таблетки N60, Парафарм ООО",Остеомед,таблетки,,unknown,,N60,N60,Парафарм ООО,ОСТЕОМЕД таб. Парафарм,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО","Эхинацеи Пурпурной; трава, фильтр-пакеты; 1.5 г; 1.5 г, N20; производитель: ИВАН-ЧАЙ ЗАО","Эхинацеи Пурпурной; фильтр-пакеты; 1.5 г; 1.5 г, N20; ИВАН-ЧАЙ ЗАО",Эхинацеи Пурпурной фильтр-пакеты 1.5 г N20,ИВАН-ЧАЙ ЗАО,"Эхинацеи Пурпурной фильтр-пакеты 1.5 г N20, ИВАН-ЧАЙ ЗАО",Эхинацеи Пурпурной,фильтр-пакеты,1.5 г,unknown,1.5 г,N20,"1.5 г, N20",ИВАН-ЧАЙ ЗАО,ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА Ф/П ИВАН ЧАЙ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
456,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО","Эториакс; таблетки, покрытые пленочной оболочкой; 60 мг; N14; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Эториакс; таблетки; 60 мг; N14; КРКА, Д.Д., НОВО МЕСТО АО",Эториакс таблетки 60 мг N14,"КРКА, Д.Д., НОВО МЕСТО АО","Эториакс таблетки 60 мг N14, КРКА, Д.Д., НОВО МЕСТО АО",Эториакс,таблетки,60 мг,unknown,,N14,N14,"КРКА, Д.Д., НОВО МЕСТО АО",ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,"Эсциталопрам Канон; таблетки, покрытые пленочной оболочкой; 20 мг; N28; производитель: КАНОНФАРМА ПРОДАКШН ЗАО",Эсциталопрам Канон; таблетки; 20 мг; N28; КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам Канон таблетки 20 мг N28,КАНОНФАРМА ПРОДАКШН ЗАО,"Эсциталопрам Канон таблетки 20 мг N28, КАНОНФАРМА ПРОДАКШН ЗАО",Эсциталопрам Канон,таблетки,20 мг,unknown,,N28,N28,КАНОНФАРМА ПРОДАКШН ЗАО,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Эналаприл Альфактив; таблетки; 20 мг; N20; производитель: ОЗОН ФАРМ ООО,Эналаприл Альфактив; таблетки; 20 мг; N20; ОЗОН ФАРМ ООО,Эналаприл Альфактив таблетки 20 мг N20,ОЗОН ФАРМ ООО,"Эналаприл Альфактив таблетки 20 мг N20, ОЗОН ФАРМ ООО",Эналаприл Альфактив,таблетки,20 мг,unknown,,N20,N20,ОЗОН ФАРМ ООО,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,"Элькар; раствор, для приема внутрь; 300 мг/мл; флакон 25 мл, N1; производитель: ПИК-ФАРМА ЛЕК","Элькар; раствор; 300 мг/мл; флакон 25 мл, N1; ПИК-ФАРМА ЛЕК",Элькар раствор 300 мг/мл флакон 25 мл N1,ПИК-ФАРМА ЛЕК,"Элькар раствор 300 мг/мл флакон 25 мл N1, ПИК-ФАРМА ЛЕК",Элькар,раствор,300 мг/мл,флакон,25 мл,N1,"флакон 25 мл, N1",ПИК-ФАРМА ЛЕК,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ,,,not_applicable,uncertain,uncertain,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 2.5 мл""; actual_pack=""2.5 мл""; expected=""фл. 2.5 мл; count=1""; action=""add_container_and_unit_content_fields""",resolved,Structured флакон + 25 мл (source ФЛ. 25МЛ). Reviewer note 2.5 мл was a copy-paste error vs source.,m50_label_uncertain,,,,,,
884,"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб; таблетки, диспергируемые в полости рта; 10 мг; N56; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб; таблетки; 10 мг; N56; КРКА, Д.Д., НОВО МЕСТО АО",Элицея Ку-Таб таблетки 10 мг N56,"КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб таблетки 10 мг N56, КРКА, Д.Д., НОВО МЕСТО АО",Элицея Ку-Таб,таблетки,10 мг,unknown,,N56,N56,"КРКА, Д.Д., НОВО МЕСТО АО",ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ","Экзоролфинлак; лак, для ногтей; 5%; флакон 2.5 мл, N1; производитель: ПАУЛЬ В. БЕЙФЕРС ГМБХ","Экзоролфинлак; лак; 5%; флакон 2.5 мл, N1; ПАУЛЬ В. БЕЙФЕРС ГМБХ",Экзоролфинлак лак 5% флакон 2.5 мл N1,ПАУЛЬ В. БЕЙФЕРС ГМБХ,"Экзоролфинлак лак 5% флакон 2.5 мл N1, ПАУЛЬ В. БЕЙФЕРС ГМБХ",Экзоролфинлак,лак,5%,флакон,2.5 мл,N1,"флакон 2.5 мл, N1",ПАУЛЬ В. БЕЙФЕРС ГМБХ,ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5%,,,not_applicable,uncertain,uncertain,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 100 мл""; actual_pack=""100 мл""; expected=""фл. 100 мл; count=1""; action=""add_container_and_unit_content_fields""",resolved,"Structured флакон + 2.5 мл from source ФЛ. 2,5МЛ. Reviewer note фл. 100 мл was a copy-paste error.",m50_label_uncertain,,,,,,
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО","Чабреца; трава, фильтр-пакеты; 1.5 г; 1.5 г, N20; производитель: Здоровье фирма ЗАО","Чабреца; фильтр-пакеты; 1.5 г; 1.5 г, N20; Здоровье фирма ЗАО",Чабреца фильтр-пакеты 1.5 г N20,Здоровье фирма ЗАО,"Чабреца фильтр-пакеты 1.5 г N20, Здоровье фирма ЗАО",Чабреца,фильтр-пакеты,1.5 г,unknown,1.5 г,N20,"1.5 г, N20",Здоровье фирма ЗАО,ЧАБРЕЦА ТРАВА Ф/П ЗДОРОВЬЕ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
1765,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон-Тева; таблетки; 50 мг; N50; производитель: ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон-Тева; таблетки; 50 мг; N50; ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон-Тева таблетки 50 мг N50,ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,"Ципротерон-Тева таблетки 50 мг N50, ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.",Ципротерон-Тева,таблетки,50 мг,unknown,,N50,N50,ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
2023,ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ №30 | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб-Тева; капсулы; 200 мг; N30; производитель: УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб-Тева; капсулы; 200 мг; N30; УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб-Тева капсулы 200 мг N30,УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,"Целекоксиб-Тева капсулы 200 мг N30, УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД",Целекоксиб-Тева,капсулы,200 мг,unknown,,N30,N30,УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
2348,ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ ФЛ. 100МЛ | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,"Хилак Форте; капли, для приема внутрь; флакон 100 мл, N1; ВИШНЯ; производитель: МЕРКЛЕ ГМБХ","Хилак Форте; капли; флакон 100 мл, N1; МЕРКЛЕ ГМБХ",Хилак Форте капли флакон 100 мл N1 ВИШНЯ,МЕРКЛЕ ГМБХ,"Хилак Форте капли флакон 100 мл N1 ВИШНЯ, МЕРКЛЕ ГМБХ",Хилак Форте,капли,,флакон,100 мл,N1,"флакон 100 мл, N1",МЕРКЛЕ ГМБХ,ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ,,,not_applicable,uncertain,uncertain,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 100 мл""; actual_pack=""100 мл""; expected=""фл. 100 мл; count=1""; action=""add_container_and_unit_content_fields""",resolved,Structured флакон + 100 мл from source ФЛ. 100МЛ. Strength left empty (none in source).,m50_label_uncertain,,,,,,
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Фурацилин; таблетки; 20 мг; N20; производитель: ТАТХИМФАРМПРЕПАРАТЫ АО,Фурацилин; таблетки; 20 мг; N20; ТАТХИМФАРМПРЕПАРАТЫ АО,Фурацилин таблетки 20 мг N20,ТАТХИМФАРМПРЕПАРАТЫ АО,"Фурацилин таблетки 20 мг N20, ТАТХИМФАРМПРЕПАРАТЫ АО",Фурацилин,таблетки,20 мг,unknown,,N20,N20,ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ ТАТХИМФАРМПРЕПАРАТЫ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
3027,ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Флуоксетин; капсулы; 10 мг; N20; производитель: ОЗОН ООО,Флуоксетин; капсулы; 10 мг; N20; ОЗОН ООО,Флуоксетин капсулы 10 мг N20,ОЗОН ООО,"Флуоксетин капсулы 10 мг N20, ОЗОН ООО",Флуоксетин,капсулы,10 мг,unknown,,N20,N20,ОЗОН ООО,ФЛУОКСЕТИН КАПС. 10МГ ОЗОН,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол-OBL; капсулы; 150 мг; N4; производитель: ОБОЛЕНСКОЕ ФП АО,Флуконазол-OBL; капсулы; 150 мг; N4; ОБОЛЕНСКОЕ ФП АО,Флуконазол-OBL капсулы 150 мг N4,ОБОЛЕНСКОЕ ФП АО,"Флуконазол-OBL капсулы 150 мг N4, ОБОЛЕНСКОЕ ФП АО",Флуконазол-OBL,капсулы,150 мг,unknown,,N4,N4,ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
