product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,enrichment_query_disambiguator_v4,brand_or_product_name_v4,dosage_form_v4,strength_v4,pack_v4,manufacturer_v4,normalization_flags_v4,normalization_warnings_v4,manufacturer_dedup_count_v4,pack_dedup_count_v4,review_stratum_v4,label_norm_v4_identity_preserved,label_norm_v4_query_appropriate,label_norm_v4_manufacturer_correct,label_norm_v4_notes,
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,САМБУКУС БУЗИНА ИММУНИТЕТ; таблетки; 700 мг; N30; производитель: Грин Сайд ООО,Самбукус Бузина Иммунитет; таблетки; 700 мг; N30; Грин Сайд ООО,Самбукус Бузина Иммунитет таблетки 700 мг N30,Грин Сайд ООО,Самбукус Бузина Иммунитет,таблетки,700 мг,N30,Грин Сайд ООО,pack_deduped|manufacturer_deduped,,2,1,pack_duplicates,yes,yes,yes,,
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,"ГЕСПЕРИДИН+ДИОСМИН; таблетки, покрытые пленочной оболочкой; 100 мг + 900 мг; N30; производитель: Алиум АО",Гесперидин+Диосмин; таблетки; 100 мг + 900 мг; N30; Алиум АО,Гесперидин+Диосмин таблетки 100 мг + 900 мг N30,Алиум АО,Гесперидин+Диосмин,таблетки,100 мг + 900 мг,N30,Алиум АО,pack_deduped|multi_component_strength|manufacturer_deduped,,2,1,multi_component_strength,yes,yes,yes,,
92,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,"ДИНАМИКО ЛОНГ; таблетки, покрытые пленочной оболочкой; 20 мг; N8; производитель: Тева Фармацевтические Предприятия Лтд.",Динамико Лонг; таблетки; 20 мг; N8; Тева Фармацевтические Предприятия Лтд.,Динамико Лонг таблетки 20 мг N8,Тева Фармацевтические Предприятия Лтд.,Динамико Лонг,таблетки,20 мг,N8,Тева Фармацевтические Предприятия Лтд.,pack_deduped|manufacturer_deduped,,2,1,fill_flagged,yes,yes,yes,,
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,ОСТЕОМЕД; таблетки; N60; производитель: Парафарм ООО,Остеомед; таблетки; [missing_strength]; N60; Парафарм ООО,Остеомед таблетки N60,Парафарм ООО,Остеомед,таблетки,,N60,Парафарм ООО,pack_deduped|missing_strength|manufacturer_deduped,no strength token extracted,2,1,fill_flagged,yes,yes,yes,,
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО","ЭХИНАЦЕИ ПУРПУРНОЙ; трава, фильтр-пакеты; 1.5 г; N20; производитель: ИВАН-ЧАЙ ЗАО",Эхинацеи Пурпурной; фильтр-пакеты; 1.5 г; N20; ИВАН-ЧАЙ ЗАО,Эхинацеи Пурпурной фильтр-пакеты 1.5 г N20,ИВАН-ЧАЙ ЗАО,Эхинацеи Пурпурной,фильтр-пакеты,1.5 г,N20,ИВАН-ЧАЙ ЗАО,manufacturer_deduped,,2,0,herbal_or_form_special,yes,yes,yes,,
456,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО","ЭТОРИАКС; таблетки, покрытые пленочной оболочкой; 60 мг; N14; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Эториакс; таблетки; 60 мг; N14; КРКА, Д.Д., НОВО МЕСТО АО",Эториакс таблетки 60 мг N14,"КРКА, Д.Д., НОВО МЕСТО АО",Эториакс,таблетки,60 мг,N14,"КРКА, Д.Д., НОВО МЕСТО АО",manufacturer_deduped,,1,0,ordinary,yes,yes,yes,,
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,"ЭСЦИТАЛОПРАМ КАНОН; таблетки, покрытые пленочной оболочкой; 20 мг; N28; производитель: КАНОНФАРМА ПРОДАКШН ЗАО",Эсциталопрам Канон; таблетки; 20 мг; N28; КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам Канон таблетки 20 мг N28,КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам Канон,таблетки,20 мг,N28,КАНОНФАРМА ПРОДАКШН ЗАО,manufacturer_deduped,,1,0,ordinary,yes,yes,yes,,
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,ЭНАЛАПРИЛ АЛЬФАКТИВ; таблетки; 20 мг; N20; производитель: ОЗОН ФАРМ ООО,Эналаприл Альфактив; таблетки; 20 мг; N20; ОЗОН ФАРМ ООО,Эналаприл Альфактив таблетки 20 мг N20,ОЗОН ФАРМ ООО,Эналаприл Альфактив,таблетки,20 мг,N20,ОЗОН ФАРМ ООО,manufacturer_deduped,,1,0,ordinary,yes,yes,yes,,
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,"ЭЛЬКАР; раствор, для приема внутрь; 300 мг/мл; 25 мл; производитель: ПИК-ФАРМА ЛЕК",Элькар; раствор; 300 мг/мл; 25 мл; ПИК-ФАРМА ЛЕК,Элькар раствор 300 мг/мл 25 мл,ПИК-ФАРМА ЛЕК,Элькар,раствор,300 мг/мл,25 мл,ПИК-ФАРМА ЛЕК,manufacturer_deduped,,1,0,ordinary,uncertain,uncertain,yes,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 2.5 мл""; actual_pack=""2.5 мл""; expected=""фл. 2.5 мл; count=1""; action=""add_container_and_unit_content_fields""",
884,"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО","ЭЛИЦЕЯ КУ-ТАБ; таблетки, диспергируемые в полости рта; 10 мг; N56; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб; таблетки; 10 мг; N56; КРКА, Д.Д., НОВО МЕСТО АО",Элицея Ку-Таб таблетки 10 мг N56,"КРКА, Д.Д., НОВО МЕСТО АО",Элицея Ку-Таб,таблетки,10 мг,N56,"КРКА, Д.Д., НОВО МЕСТО АО",manufacturer_deduped,,1,0,ordinary,yes,yes,yes,,
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ","ЭКЗОРОЛФИНЛАК; лак, для ногтей; 5%; 2.5 мл; производитель: ПАУЛЬ В. БЕЙФЕРС ГМБХ",Экзоролфинлак; лак; 5%; 2.5 мл; ПАУЛЬ В. БЕЙФЕРС ГМБХ,Экзоролфинлак лак 5% 2.5 мл,ПАУЛЬ В. БЕЙФЕРС ГМБХ,Экзоролфинлак,лак,5%,2.5 мл,ПАУЛЬ В. БЕЙФЕРС ГМБХ,manufacturer_deduped,,1,0,herbal_or_form_special,uncertain,uncertain,yes,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 100 мл""; actual_pack=""100 мл""; expected=""фл. 100 мл; count=1""; action=""add_container_and_unit_content_fields""",
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО","ЧАБРЕЦА; трава, фильтр-пакеты; 1.5 г; N20; производитель: Здоровье фирма ЗАО",Чабреца; фильтр-пакеты; 1.5 г; N20; Здоровье фирма ЗАО,Чабреца фильтр-пакеты 1.5 г N20,Здоровье фирма ЗАО,Чабреца,фильтр-пакеты,1.5 г,N20,Здоровье фирма ЗАО,manufacturer_deduped,,2,0,herbal_or_form_special,yes,yes,yes,,
1765,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,ЦИПРОТЕРОН-ТЕВА; таблетки; 50 мг; N50; производитель: ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон-Тева; таблетки; 50 мг; N50; ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон-Тева таблетки 50 мг N50,ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон-Тева,таблетки,50 мг,N50,ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,manufacturer_deduped,,1,0,manufacturer_duplicates,yes,yes,yes,,
2023,ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ №30 | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,ЦЕЛЕКОКСИБ-ТЕВА; капсулы; 200 мг; N30; производитель: УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб-Тева; капсулы; 200 мг; N30; УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб-Тева капсулы 200 мг N30,УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб-Тева,капсулы,200 мг,N30,УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,manufacturer_deduped,,1,0,manufacturer_duplicates,yes,yes,yes,,
2348,ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ ФЛ. 100МЛ | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,"ХИЛАК ФОРТЕ; капли, для приема внутрь; 100 мл; ВИШНЯ; производитель: МЕРКЛЕ ГМБХ",Хилак Форте; капли; [missing_strength]; 100 мл; МЕРКЛЕ ГМБХ,Хилак Форте капли 100 мл,МЕРКЛЕ ГМБХ,Хилак Форте,капли,,100 мл,МЕРКЛЕ ГМБХ,missing_strength|manufacturer_deduped,no strength token extracted,1,0,herbal_or_form_special,uncertain,uncertain,yes,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 100 мл""; actual_pack=""100 мл""; expected=""фл. 100 мл; count=1""; action=""add_container_and_unit_content_fields""",
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН; таблетки; 20 мг; N20; производитель: ТАТХИМФАРМПРЕПАРАТЫ АО,Фурацилин; таблетки; 20 мг; N20; ТАТХИМФАРМПРЕПАРАТЫ АО,Фурацилин таблетки 20 мг N20,ТАТХИМФАРМПРЕПАРАТЫ АО,Фурацилин,таблетки,20 мг,N20,ТАТХИМФАРМПРЕПАРАТЫ АО,manufacturer_deduped,,2,0,manufacturer_duplicates,yes,yes,yes,,
3027,ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,ФЛУОКСЕТИН; капсулы; 10 мг; N20; производитель: ОЗОН ООО,Флуоксетин; капсулы; 10 мг; N20; ОЗОН ООО,Флуоксетин капсулы 10 мг N20,ОЗОН ООО,Флуоксетин,капсулы,10 мг,N20,ОЗОН ООО,manufacturer_deduped,,2,0,manufacturer_duplicates,yes,yes,yes,,
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL; капсулы; 150 мг; N4; производитель: ОБОЛЕНСКОЕ ФП АО,Флуконазол-OBL; капсулы; 150 мг; N4; ОБОЛЕНСКОЕ ФП АО,Флуконазол-OBL капсулы 150 мг N4,ОБОЛЕНСКОЕ ФП АО,Флуконазол-OBL,капсулы,150 мг,N4,ОБОЛЕНСКОЕ ФП АО,manufacturer_deduped,,1,0,manufacturer_duplicates,yes,yes,yes,,
3556,"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО","ФИЗИОТЕНЗ; таблетки, покрытые пленочной оболочкой; 0.4 мг; N28; производитель: ВЕРОФАРМ АО",Физиотенз; таблетки; 0.4 мг; N28; ВЕРОФАРМ АО,Физиотенз таблетки 0.4 мг N28,ВЕРОФАРМ АО,Физиотенз,таблетки,0.4 мг,N28,ВЕРОФАРМ АО,manufacturer_deduped,,2,0,manufacturer_duplicates,yes,yes,yes,,
3759,ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ ПАК. 3Г №12 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,"ФАСПИК; гранулы, для приготовления раствора для приема внутрь; 400 мг; 3 г; N12; АБРИКОС; производитель: ЗАМБОН СВИТЦЕЛАНД ЛТД.",Фаспик; порошок; 400 мг; N12; ЗАМБОН СВИТЦЕЛАНД ЛТД.,Фаспик порошок 400 мг N12,ЗАМБОН СВИТЦЕЛАНД ЛТД.,Фаспик,порошок,400 мг,N12,ЗАМБОН СВИТЦЕЛАНД ЛТД.,parse_ambiguous|manufacturer_deduped,гранулы mapped toward порошок; raw kept in display,1,0,herbal_or_form_special,yes,yes,yes,,
3763,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,ФАРМГРУПП; настойка; 250 мл; 5 ТРАВ УСПОКОИТЕЛЬНАЯ; производитель: ФАРМГРУПП ООО,Фармгрупп; настойка; [missing_strength]; 250 мл; ФАРМГРУПП ООО,Фармгрупп настойка 250 мл,ФАРМГРУПП ООО,Фармгрупп,настойка,,250 мл,ФАРМГРУПП ООО,missing_strength|manufacturer_deduped|parse_ambiguous,no strength token extracted; unclassified head remnant retained: 5 ТРАВ УСПОКОИТЕЛЬНАЯ,1,0,fill_flagged,no,uncertain,yes,"severity=critical; reason=brand_role_misattributed_and_product_name_loss; source_head=""ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ""; source_manufacturer=""ФАРМГРУПП ООО""; actual_brand=""Фармгрупп""; expected_brand=""5 трав успокоительная""; lost_tokens=""5 трав|успокоительная""; actual_query=""Фармгрупп настойка 250 мл""; expected_query=""5 трав успокоительная настойка флакон 250 мл""; action=""add_manufacturer_prefix_detection_and_name_recovery_rule""",
3781,ФАРИНГОСЕПТ ТАБЛ. Д/РАССАС. МЕД-ЛИМОН 10МГ №20 | C.К. ТЕРАПИЯ С.А. | C.К. ТЕРАПИЯ С.А.,"ФАРИНГОСЕПТ; таблетки, для рассасывания; 10 мг; N20; МЕД-ЛИМОН; производитель: C.К. ТЕРАПИЯ С.А.",Фарингосепт; таблетки; 10 мг; N20; C.К. ТЕРАПИЯ С.А.,Фарингосепт таблетки 10 мг N20,C.К. ТЕРАПИЯ С.А.,Фарингосепт,таблетки,10 мг,N20,C.К. ТЕРАПИЯ С.А.,manufacturer_deduped,,1,0,manufacturer_duplicates,yes,yes,yes,,
4133,УЛЬЦЕРНИЛ ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,"УЛЬЦЕРНИЛ; таблетки, кишечнорастворитые, покрытые пленочной оболочкой; 20 мг; N28; производитель: САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД",Ульцернил; таблетки; 20 мг; N28; САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,Ульцернил таблетки 20 мг N28,САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,Ульцернил,таблетки,20 мг,N28,САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,manufacturer_deduped,,1,0,manufacturer_duplicates,yes,yes,yes,,
4403,ТРИМЕТАЗИДИН-АКОС МВ 35МГ ТАБЛ. МОДИФ. ВЫСВ. П/О №60 | БИОКОМ ЗАО | БИОКОМ ЗАО,"ТРИМЕТАЗИДИН-АКОС МВ; таблетки, покрытые оболочкой, с пролонгированным высвобождением; 35 мг; N60; производитель: БИОКОМ ЗАО",Триметазидин-Акос МВ; таблетки; 35 мг; N60; БИОКОМ ЗАО,Триметазидин-Акос МВ таблетки 35 мг N60,БИОКОМ ЗАО,Триметазидин-Акос МВ,таблетки,35 мг,N60,БИОКОМ ЗАО,manufacturer_deduped,,1,0,manufacturer_duplicates,yes,yes,yes,,
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,"ТРАНЕКСАМОВАЯ КИСЛОТА; таблетки, покрытые пленочной оболочкой; 250 мг; N30; производитель: МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП",Транексамовая Кислота; таблетки; 250 мг; N30; МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая Кислота таблетки 250 мг N30,МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая Кислота,таблетки,250 мг,N30,МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,manufacturer_deduped,,2,0,manufacturer_duplicates,yes,yes,yes,,
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,"ТРАНЕКСАМОВАЯ КИСЛОТА; раствор, для инъекций; 50 мг/мл; 5 мл; N10; производитель: МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП",Транексамовая Кислота; раствор; 50 мг/мл; N10; МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая Кислота раствор 50 мг/мл N10,МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая Кислота,раствор,50 мг/мл,N10,МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,manufacturer_deduped,,2,0,manufacturer_duplicates,no,no,yes,"severity=major; reason=unit_volume_and_container_lost; source_pack=""амп. 5 мл N10""; actual_pack=""N10""; expected=""амп. 5 мл N10""; action=""add_container_and_unit_content_fields""",
4593,ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,ТОРАСЕМИД; таблетки; 10 мг; N20; производитель: ОЗОН ООО,Торасемид; таблетки; 10 мг; N20; ОЗОН ООО,Торасемид таблетки 10 мг N20,ОЗОН ООО,Торасемид,таблетки,10 мг,N20,ОЗОН ООО,manufacturer_deduped,,2,0,manufacturer_duplicates,yes,yes,yes,,
4684,ТОЛПЕРИЗОН ТАБЛ. П/ПЛЕН/ОБ. 150МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,"ТОЛПЕРИЗОН; таблетки, покрытые пленочной оболочкой; 150 мг; N30; производитель: ОЗОН ООО",Толперизон; таблетки; 150 мг; N30; ОЗОН ООО,Толперизон таблетки 150 мг N30,ОЗОН ООО,Толперизон,таблетки,150 мг,N30,ОЗОН ООО,manufacturer_deduped,,2,0,manufacturer_duplicates,yes,yes,yes,,
