product_id,normalized_text,baseline_attr_mnn,input_explicit_mnn,catalog_candidate_mnn_before_gate,catalog_candidate_mnn_after_gate,enrichment_mnn,final_candidate_mnn,final_mnn_method,mnn_resolution_status,needs_human_review,accepted_source_count,rejected_source_count,ambiguous_source_count,accepted_source_titles,accepted_source_urls,accepted_source_mnn,accepted_source_match_scores,rejected_source_titles,rejected_source_urls,rejected_source_mnn,rejected_source_match_scores,rejection_reasons,enrichment_evidence_urls,label_mnn,label_source_match,label_rx_otc,label_notes
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,,Транексамовая кислота,,,,unresolved,unresolved_catalog,True,1,1,3,"Транексамовая кислота, 250 мг, табл. п.п.о, 10 шт.",https://uteka.ru/product/traneksamovaya-kislota-402814/,Транексамовая кислота,0.85,traneksamovaya kislota verteks 250 mg 10 sht tabletki pokrytye plenochnoj obolochkoj,https://apteka.ru/product/traneksamovaya-kislota-verteks-250-mg-10-sht-tabletki-pokrytye-plenochnoj-obolochkoj-634d69dfe65cbb5833914689/,Транексамовая кислота,-0.4,"brand_title_conflict:-0.60,dose_match:+0.20",,,,,
6743,СИЛДЕНАФИЛ ТАБЛ. П/ПЛЕН/ОБ. 100МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,Силденафил,,Силденафил,,,,unresolved,unresolved_catalog,True,1,1,3,"Силденафил-СЗ, 100 мг, табл. п.п.о, 20 шт.",https://uteka.ru/product/sildenafil-sz-312564/,Силденафил,0.85,sildenafil 100 mg 2 sht tabletki pokrytye plenochnoj obolochkoj,https://apteka.ru/product/sildenafil-100-mg-2-sht-tabletki-pokrytye-plenochnoj-obolochkoj-5e3274e865b5ab000165710d/,Силденафил,-0.4,"brand_title_conflict:-0.60,dose_match:+0.20",,,,,
11293,"НОЛЬПАЗА ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №14 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Пантопразол,,Пантопразол,,,,unresolved,unresolved_catalog,True,1,2,2,"Нольпаза, 20 мг, табл. п.о. кишечнорастворимые, 28 шт.",https://uteka.ru/product/nolpaza-220682/,Пантопразол,0.85,nolpaza 20 mg 28 sht tabletki kishechnorastvorimye  pokrytye plenochnoj obolochkoj | /cards/nolpaza_20mg_n14_tab_kishechnorastvorimye_krka_dd_novo_mesto.html,https://apteka.ru/product/nolpaza-20-mg-28-sht-tabletki-kishechnorastvorimye--pokrytye-plenochnoj-obolochkoj-5e326df565b5ab0001653ea2/ | https://www.asna.ru/cards/nolpaza_20mg_n14_tab_kishechnorastvorimye_krka_dd_novo_mesto.html,Пантопразол | Пантопразол,-0.4 | -0.25,"brand_title_conflict:-0.60,dose_match:+0.20 | brand_title_conflict:-0.60,dose_match:+0.20,form_match:+0.15",,,,,
9539,"ПИКОДИНАР КАПЛИ Д/ПРИЕМА ВНУТРЬ 7,5МГ/МЛ ФЛ. 15МЛ | ГРОТЕКС ООО | ГРОТЕКС ООО",,,Натрия пикосульфат,,,,unresolved,unresolved_catalog,True,1,2,2,"Пикодинар, 7.5 мг/мл, капли д/пр. внутрь, 30 мл, 1 шт.",https://uteka.ru/product/pikodinar-359527/,Натрия пикосульфат,0.85,pikodinar 75mgml flakon kapli dlya priema vnutr 30 ml | /cards/pikodinar_75mgml_30ml_kapli_dpriema_vnutr.html,https://apteka.ru/product/pikodinar-75mgml-flakon-kapli-dlya-priema-vnutr-30-ml-5e3278d765b5ab0001659320/ | https://www.asna.ru/cards/pikodinar_75mgml_30ml_kapli_dpriema_vnutr.html,Натрия пикосульфат | Натрия пикосульфат,-0.9 | -0.9,"brand_title_conflict:-0.60,dose_conflict:-0.30 | brand_title_conflict:-0.60,dose_conflict:-0.30",,,,,
14164,"МАКСИКОЛД ЛОР ТАБС ДВОЙНОЕ ДЕЙСТВИЕ ТАБЛ. Д/РАССАС. 8,75МГ+1МГ №20 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА / ОТИСИФАРМ ПРО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА / ОТИСИФАРМ ПРО",Бензокаин + Цетилпиридиния хлорид,,Гексэтидин,,,,unresolved,unresolved_catalog,True,0,2,3,,,,,maksikold lor tabs dvojnoe dejstvie 875 mg  1 mg 20 sht tabletki dlya rassasyvaniya | /cards/maksikold_lor_tabs_dvoynoe_deystvie_875mg1mg_n20_tab_drassasyvaniya_farmstandart-leksredstva.html,https://apteka.ru/product/maksikold-lor-tabs-dvojnoe-dejstvie-875-mg--1-mg-20-sht-tabletki-dlya-rassasyvaniya-66bdbce4862fae32de8b4755/ | https://www.asna.ru/cards/maksikold_lor_tabs_dvoynoe_deystvie_875mg1mg_n20_tab_drassasyvaniya_farmstandart-leksredstva.html,"Флурбипрофен, Цетилпиридиния хлорид | Флурбипрофен+Цетилпиридиния хлорид",-0.25 | -0.25,"brand_title_conflict:-0.60,dose_match:+0.20,form_match:+0.15 | brand_title_conflict:-0.60,dose_match:+0.20,form_match:+0.15",,,,,
14679,ЛОПЕРАМИД ТАБЛ. 2МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Лоперамид,,Лоперамид,,,,unresolved,unresolved_catalog,True,1,1,3,"Лоперамид, 2 мг, табл, 20 шт.",https://uteka.ru/product/loperamid-22805/,Лоперамид,0.85,loperamid 2 mg 20 sht tabletki,https://apteka.ru/product/loperamid-2-mg-20-sht-tabletki-6839b46d0c2a656e635247cd/,Лоперамид,-0.4,"brand_title_conflict:-0.60,dose_match:+0.20",,,,,
20726,ДАБИКСОМ КАПС. 150МГ №60 | КРКА-РУС ООО | КРКА-РУС ООО,дабигатрана этексилат,,Дабигатрана этексилат,,,,unresolved,unresolved_catalog,True,1,2,2,"Дабиксом, 150 мг, капсулы, 60 шт.",https://uteka.ru/product/dabiksom-387323/,Дабигатрана этексилат,0.85,dabiksom 150 mg 60 sht kapsuly | /cards/dabiksom_150mg_n60_kaps_krka-rus_ooo.html,https://apteka.ru/product/dabiksom-150-mg-60-sht-kapsuly-641435f9c22247c3483c1497/ | https://www.asna.ru/cards/dabiksom_150mg_n60_kaps_krka-rus_ooo.html,Дабигатрана этексилат | Дабигатрана этексилат,-0.4 | -0.4,"brand_title_conflict:-0.60,dose_match:+0.20 | brand_title_conflict:-0.60,dose_match:+0.20",,,,,
5010,ТЕРАФЛЕКС КАПС. 500МГ+400МГ №200 МАКИЗ-ФАРМА | МАКИЗ-ФАРМА | МАКИЗ-ФАРМА,,,"Глюкозамин, Хондроитин сульфат, Хондроитина сульфат",,,,unresolved,unresolved_catalog,True,0,2,3,,,,,terafleks 500 mg  400 mg 100 sht kapsuly | /cards/terafleks_n200_kaps_kontrakt_farmakal_korporeyshnmakiz-farma_ooo.html,https://apteka.ru/product/terafleks-500-mg--400-mg-100-sht-kapsuly-5e32736165b5ab0001656645/ | https://www.asna.ru/cards/terafleks_n200_kaps_kontrakt_farmakal_korporeyshnmakiz-farma_ooo.html,"Глюкозамин, Хондроитина сульфат | Глюкозамин+Хондроитин сульфат",-0.4 | -0.6,"brand_title_conflict:-0.60,dose_match:+0.20 | brand_title_conflict:-0.60,dose_card_unknown",,,,,
19875,ДОЛГИТБЛОК ГЕЛЬ Д/НАРУЖ. ПРИМ. 5%+3% ТУБА 20Г | ДОЛОРГИТ ГМБХ И КО.КГ | ДОЛОРГИТ ГМБХ И КО.КГ,,,"Ибупрофен, Левоментол",,,,unresolved,unresolved_catalog,True,0,3,2,,,,,"Долгитблок, 5%+3%, гель д/наружн. прим, 100 г, 1 шт. | dolgitblok 53 gel dlya naruzhnogo primeneniya 100 gr | /cards/dolgitblok_5_3_100g_gel_dnaruzhnogo_primeneniya_dolorgit_gmbkh_i_kokg.html",https://uteka.ru/product/dolgitblok-388664/ | https://apteka.ru/product/dolgitblok-53-gel-dlya-naruzhnogo-primeneniya-100-gr-64465a7e38405b69ba32d00d/ | https://www.asna.ru/cards/dolgitblok_5_3_100g_gel_dnaruzhnogo_primeneniya_dolorgit_gmbkh_i_kokg.html,"Ибупрофен + Левоментол | Ибупрофен, Левоментол | Ибупрофен+ Левоментол",0.35 | -0.45 | -0.45,"brand_title_match:+0.50,dose_conflict:-0.30,form_match:+0.15 | brand_title_conflict:-0.60,dose_card_unknown,form_match:+0.15 | brand_title_conflict:-0.60,dose_card_unknown,form_match:+0.15",,,,,
18830,ИЗЖОГАНЕТ АНТАЦИДНЫЙ КОМПЛЕКС СО ВКУСОМ МЯТЫ ТАБЛ. 600МГ №40 | ГРИН САЙД ООО | ГРИН САЙД ООО,,,,,,,unresolved,unresolved_catalog,True,0,2,3,,,,,green side antaczidnyj kompleks izzhoganet so vkusom myaty 20 sht tabletki massoj 630 mg | /cards/antatsidnyy_kompleks_izzhoganet_tab_so_vkusom_apelsina_n20_grin_sayd_ooo.html,https://apteka.ru/product/green-side-antaczidnyj-kompleks-izzhoganet-so-vkusom-myaty-20-sht-tabletki-massoj-630-mg-6846ccef67292421ab0c1f90/ | https://www.asna.ru/cards/antatsidnyy_kompleks_izzhoganet_tab_so_vkusom_apelsina_n20_grin_sayd_ooo.html, | ,-0.9 | -0.45,"brand_title_conflict:-0.60,dose_conflict:-0.30 | brand_title_conflict:-0.60,dose_card_unknown,form_match:+0.15",,,,,
20291,"ДИКЛОФЕНАК-АКОС КАПЛИ ГЛАЗН. 0,1% ФЛ. 5МЛ | СИНТЕЗ | СИНТЕЗ",Диклофенак,,Диклофенак,,,,unresolved,unresolved_catalog,True,0,2,3,,,,,diklofenak teva 1 gel dlya naruzhnogo primeneniya 100 gr | /cards/diklofenak-akos_1_30g_maz_dnaruzhnogo_primeneniya_sintez.html,https://apteka.ru/product/diklofenak-teva-1-gel-dlya-naruzhnogo-primeneniya-100-gr-5e327525ca7bdc0001932da1/ | https://www.asna.ru/cards/diklofenak-akos_1_30g_maz_dnaruzhnogo_primeneniya_sintez.html,Диклофенак | Диклофенак,-0.85 | -0.6,"brand_title_conflict:-0.60,dose_card_unknown,form_conflict:-0.25 | brand_title_conflict:-0.60,dose_card_unknown",,,,,
20982,"ГЛЮКОВАНС ТАБЛ. П/ПЛЕН/ОБ. 2,5МГ+500МГ №30 | МЕРК САНТЭ С.А.С. | МЕРК САНТЭ С.А.С.",Метформин+Глибенкламид,,"Метформин, Глибенкламид",,,,unresolved,unresolved_catalog,True,0,2,3,,,,,glyukovans 5 mg  500 mg 60 sht tabletki pokrytye plenochnoj obolochkoj | /cards/glyukovans_5mg500mg_n60_tab_pokrytye_plenochnoy_obolochkoy_merck_sante_cac.html,https://apteka.ru/product/glyukovans-5-mg--500-mg-60-sht-tabletki-pokrytye-plenochnoj-obolochkoj-5e326416ca7bdc000192ae25/ | https://www.asna.ru/cards/glyukovans_5mg500mg_n60_tab_pokrytye_plenochnoy_obolochkoy_merck_sante_cac.html,"Глибенкламид, Метформин | Глибенкламид*+ Метформин",-0.4 | -0.25,"brand_title_conflict:-0.60,dose_match:+0.20 | brand_title_conflict:-0.60,dose_match:+0.20,form_match:+0.15",,,,,
16623,КОФЕИН-БЕНЗОАТ НАТРИЯ ТАБЛ. 100МГ №10 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Кофеин,,Кофеин,,,,unresolved,unresolved_catalog,True,1,2,2,"Кофеина-бензоат натрия, 100 мг, табл, 10 шт.",https://uteka.ru/product/kofeina-benzoat-natriya-55364/,Кофеин,0.85,kofein benzoat natriya 100 mg 10 sht tabletki | /cards/kofein_benzoat_natriya_100mg_n10_tab_tatkhimfarm.html,https://apteka.ru/product/kofein-benzoat-natriya-100-mg-10-sht-tabletki-60755c27fc3e58107d0b2cfa/ | https://www.asna.ru/cards/kofein_benzoat_natriya_100mg_n10_tab_tatkhimfarm.html,Кофеин | Кофеин,-0.4 | -0.25,"brand_title_conflict:-0.60,dose_match:+0.20 | brand_title_conflict:-0.60,dose_match:+0.20,form_match:+0.15",,,,,
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Зверобоя трава,,,,,,unresolved,unresolved_catalog,True,0,3,2,,,,,"Фитофарм Тысячелистника трава, сырье раст.-пор, 1.5 г, 20 шт. | brusniki listya 50 gr fitofarm | /cards/stomatofit_100ml_ekstrakt_zhidkiy_dmestnogo_primeneniya_fitofarm_klenka_ao.html",https://uteka.ru/product/fitofarm-tisyachelistnika-trava-433581/ | https://apteka.ru/product/brusniki-listya-50-gr-fitofarm-5e32640fca7bdc000192adef/ | https://www.asna.ru/cards/stomatofit_100ml_ekstrakt_zhidkiy_dmestnogo_primeneniya_fitofarm_klenka_ao.html, |  | ,0.2 | -0.6 | -0.9,"brand_title_match:+0.50,dose_conflict:-0.30 | brand_title_conflict:-0.60,dose_card_unknown | brand_title_conflict:-0.60,dose_conflict:-0.30",,,,,
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО",,,,,Тимьяна ползучего трава,Тимьяна ползучего трава,enrichment,resolved_enrichment,False,1,2,2,"М Здоровье Крапивы листья, 1.5 г, 20 шт.",https://uteka.ru/product/m-zdorove-krapivi-listya-436042/,,0.7,fitochaj zdorovechernika 2 gr 20 sht filtr pakety | /cards/krapiva_listya_15g_n20_fp_zdorove.html,https://apteka.ru/product/fitochaj-zdorovechernika-2-gr-20-sht-filtr-pakety-5e32723665b5ab0001655da0/ | https://www.asna.ru/cards/krapiva_listya_15g_n20_fp_zdorove.html, | Крапивы двудомной листья,-0.6 | -0.6,"brand_title_conflict:-0.60,dose_card_unknown | brand_title_conflict:-0.60,dose_card_unknown",,,,,
1638,ЧЕРЕДЫ ТРАВА 50Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,,,,,Череды трехраздельной трава,Череды трехраздельной трава,enrichment,resolved_enrichment,False,0,3,2,,,,,"Магнит Здоровье Морская вода, спрей наз, 50 мл, 1 шт. | akaviya one syvorotka dlya licza omolazhivayushhaya estestvennoe siyanie i zdorove kozhi noch 12 sht konczentrat ampulyaktivator 50 ml | /cards/meksidol_forte_250_250mg_n40_tab_pokrytye_plenochnoy_obolochkoy_zio_zdorove_zao.html",https://uteka.ru/product/magnit-zdorove-morskaya-voda-412238/ | https://apteka.ru/product/akaviya-one-syvorotka-dlya-licza-omolazhivayushhaya-estestvennoe-siyanie-i-zdorove-kozhi-noch-12-sht-konczentrat-ampulyaktivator-50-ml-6470acc2386b3703ef00f9b5/ | https://www.asna.ru/cards/meksidol_forte_250_250mg_n40_tab_pokrytye_plenochnoy_obolochkoy_zio_zdorove_zao.html, |  | Этилметилгидроксипиридина сукцинат,0.2 | -0.9 | -0.9,"brand_title_match:+0.50,dose_conflict:-0.30 | brand_title_conflict:-0.60,dose_conflict:-0.30 | brand_title_conflict:-0.60,dose_conflict:-0.30",,,,,
21018,ГЛИЦИН ТАБЛ. П/ЯЗЫЧН. 100МГ №50 ОЗОН ФАРМ | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Глицин,Глицин,,,Глицин,Глицин,input_plus_enrichment,resolved_enrichment,False,1,2,2,"Глицин, 100 мг, табл. подъязычн, 50 шт.",https://uteka.ru/product/glicin-414125/,Глицин,0.85,meloksikam 75 mg n20 tabl ozon farm | /cards/glitsin_100mg_n50_tab_podyazychnye_ozon_farm_ooo.html,https://apteka.ru/product/meloksikam-75-mg-n20-tabl-ozon-farm-634e99cee65cbb5833914b5b/ | https://www.asna.ru/cards/glitsin_100mg_n50_tab_podyazychnye_ozon_farm_ooo.html,Мелоксикам | Глицин, | -0.25,"strong_explicit_mnn_mismatch | brand_title_conflict:-0.60,dose_match:+0.20,form_match:+0.15",,,,,
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Тамоксифен,Тамоксифен,,,Тамоксифен,Тамоксифен,input_plus_enrichment,resolved_enrichment,False,0,4,1,,,,,"Эналаприл НЛ 20, 12.5 мг+20 мг, табл, 20 шт. | meloksikam 75 mg n20 tabl ozon farm | /cards/spironolakton_25mg_n20_tab_ozon.html | Глицин Озон",https://uteka.ru/product/enalapril-nl-20-259660/ | https://apteka.ru/product/meloksikam-75-mg-n20-tabl-ozon-farm-634e99cee65cbb5833914b5b/ | https://www.asna.ru/cards/spironolakton_25mg_n20_tab_ozon.html | https://www.vidal.ru/drugs/glycine_bio__10481,Гидрохлоротиазид + Эналаприл | Мелоксикам | Спиронолактон | Глицин, |  |  | ,strong_explicit_mnn_mismatch | strong_explicit_mnn_mismatch | strong_explicit_mnn_mismatch | strong_explicit_mnn_mismatch,,,,,
9993,ПАРАЦЕТАМОЛ ТАБЛ. 500МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,Парацетамол,Парацетамол,,,Парацетамол,Парацетамол,input_plus_enrichment,resolved_enrichment,False,1,0,4,"Парацетамол Реневал, 500 мг, табл, 20 шт.",https://uteka.ru/product/paracetamol-12208/,Парацетамол,0.85,,,,,,,,,,
21019,ГЛИЦИН ТАБЛ. П/ЯЗЫЧН. 100МГ №50 ОЗОН | ОЗОН ООО | ОЗОН ООО,Глицин,Глицин,,,Глицин,Глицин,input_plus_enrichment,resolved_enrichment,False,0,3,2,,,,,"Диазолин, 100 мг, табл, 10 шт. | meloksikam 75 mg n20 tabl ozon farm | /cards/metotreksat_25mg_n50_tab_pokrytye_obolochkoy_ozon.html",https://uteka.ru/product/diazolin-18157/ | https://apteka.ru/product/meloksikam-75-mg-n20-tabl-ozon-farm-634e99cee65cbb5833914b5b/ | https://www.asna.ru/cards/metotreksat_25mg_n50_tab_pokrytye_obolochkoy_ozon.html,Мебгидролин | Мелоксикам | Метотрексат, |  | ,strong_explicit_mnn_mismatch | strong_explicit_mnn_mismatch | strong_explicit_mnn_mismatch,,,,,
